ID,Name,Age,Gender,Country,City,Education,Occupation
1,Aarav,25,Male,India,Mumbai,Graduate,Engineer
2,Vivaan,34,Male,India,Delhi,Postgraduate,Doctor
3,Aditya,29,Male,India,Bangalore,Graduate,Teacher
4,Vihaan,40,Male,India,Hyderabad,PhD,Scientist
5,Arjun,22,Male,India,Pune,Graduate,Designer
6,Sai,31,Male,India,Chennai,Graduate,Manager
7,Reyansh,28,Male,India,Kolkata,Postgraduate,Developer
8,Krishna,35,Male,India,Jaipur,Graduate,Accountant
9,Ishaan,27,Male,India,Ahmedabad,Graduate,Lawyer
10,Rohan,30,Male,India,Lucknow,Graduate,Businessman
11,Ananya,24,Female,India,Indore,Postgraduate,Nurse
12,Aarohi,26,Female,India,Bhopal,Graduate,Architect
13,Diya,33,Female,India,Nagpur,Graduate,HR
14,Myra,29,Female,India,Surat,Postgraduate,Marketing
15,Ira,21,Female,India,Kanpur,Graduate,Student
16,Avni,32,Female,India,Patna,Graduate,Analyst
17,Riya,23,Female,India,Ranchi,Graduate,Consultant
18,Saanvi,36,Female,India,Raipur,PhD,Professor
19,Navya,28,Female,India,Chandigarh,Graduate,Journalist
20,Pari,25,Female,India,Amritsar,Postgraduate,Entrepreneur
